#Horror;3.3;101;Drama|Horror|Mystery|Thriller;Tara Subkoff;Timothy Hutton;Balthazar Getty;Lydia Hearst;bullying|cyberbullying|girl|internet|throat slitting
Flawless;6.4;112;Comedy|Crime|Drama;Joel Schumacher;Robert De Niro;Philip Seymour Hoffman;Chris Bauer;gay interest|gay lead character|gay republican|homosexual|neighbor
Fled;5.3;105;Action|Adventure|Crime|Drama|Romance;Kevin Hooks;Salma Hayek;Stephen Baldwin;Will Patton;disk|floppy disk|mafia|prison|prisoner
Flicka;6.2;95;Adventure|Drama|Family;Michael Mayer;Alison Lohman;Danny Pino;Tim McGraw;father son relationship|horse|horse ranch|ranch|wild mustang
Flight;7.3;138;Drama|Thriller;Robert Zemeckis;Denzel Washington;Bruce Greenwood;Nadine Velazquez;airline|flight|flight attendant|lawyer|pilot
Flight of the Intruder;5.7;115;Action|Drama|Thriller|War;John Milius;Rosanna Arquette;Dann Florek;Christopher Rich;bombardier|pilot|u.s. navy|vietnam|vietnam war
Flight of the Phoenix;6.1;113;Action|Adventure|Drama|Thriller;John Moore;Dennis Quaid;Tony Curran;Miranda Otto;captain|desert|rescue|stranded|survivor
Flightplan;6.2;98;Drama|Mystery|Thriller;Robert Schwentke;Erika Christensen;Michael Irby;Haley Ramm;captain|flight|flight attendant|plane|search
Flipped;7.7;90;Comedy|Drama|Romance;Rob Reiner;Madeline Carroll;Rebecca De Mornay;Aidan Quinn;apology|falling in love|multiple perspectives|narrated by a girl|younger version of character
Flipper;5.2;95;Adventure|Family;Alan Shapiro;Paul Hogan;Chelsea Field;Jessica Wesson;dolphin|florida|florida keys|summer|vomiting
Flirting with Disaster;6.8;92;Comedy;David O. Russell;Lily Tomlin;Mary Tyler Moore;David Patrick Kelly;adoption|armpit fetish|mistaken identity|new mexico|overalls
Florence Foster Jenkins;7.1;110;Biography|Comedy|Drama|Music|Romance;Stephen Frears;Meryl Streep;Nina Arianda;John Sessions;heiress|opera singer|platonic marriage|singer|singing
Flubber;5.2;90;Comedy|Family|Sci-Fi;Les Mayfield;Robin Williams;Jodi Benson;Sam Lloyd;college|flubber|flying rubber|professor|wedding
Flushed Away;6.7;85;Adventure|Animation|Comedy|Family;David Bowers;Hugh Jackman;Kate Winslet;David Suchet;boat|frog|rat|sewer|toad
Flyboys;6.6;140;Action|Adventure|Drama|History|Romance|War;Tony Bill;James Franco;Tyler Labine;Philip Winchester;american|france|military|pilot|training
Flying By;4.5;90;Drama|Family|Music;Jim Amatulli;Heather Locklear;Patricia Neal;Katie Leclerc;
Flywheel;6.9;120;Drama;Alex Kendrick;Shannen Fields;Lisa Arnold;Janet Lee Dapper;baby|car salesman|christian film|pregnancy|used car salesman
Focus;6.6;105;Comedy|Crime|Drama|Romance;Glenn Ficarra;Will Smith;Adrian Martinez;Gerald McRaney;con artist|con man|deception|rivalry|seduction
Food Chains;7.1;83;Documentary|News;Sanjay Rawal;Alma Martinez;Robert Kennedy Jr.;Eve Ensler;two word title
Food, Inc.;7.9;94;Documentary;Robert Kenner;Michael Pollan;Eric Schlosser;Barbara Kowalcyk;farming|flesh eating|food|food industry|gluttony
Foodfight!;1.7;91;Action|Animation|Comedy|Family|Fantasy;Lawrence Kasanoff;Jerry Stiller;Larry Miller;Harvey Fierstein;femme fatale|food|pun|supermarket|troubled production
Foolish;4.3;84;Comedy|Drama;Dave Meyers;Eddie Griffin;Clifton Powell;Marla Gibbs;accidental killing|drug humor|profanity|sexual humor|stand up comedy
Fool's Gold;5.6;112;Action|Adventure|Comedy|Romance|Thriller;Andy Tennant;Matthew McConaughey;Ray Winstone;Alexis Dziena;debt|rapper|treasure|treasure hunter|yacht
Footloose;6.5;107;Drama|Music|Romance;Herbert Ross;Dianne Wiest;Chris Penn;Lori Singer;church|cowboy boots|dancing|high school dance|teenager
Footloose;6.5;107;Drama|Music|Romance;Herbert Ross;Dianne Wiest;Chris Penn;Lori Singer;church|cowboy boots|dancing|high school dance|teenager
For a Good Time, Call...;6;88;Comedy;Jamie Travis;James Wolk;Ari Graynor;Nia Vardalos;friend|friendship|gay|phone sex|sex
For Colored Girls;6;133;Drama;Tyler Perry;Omari Hardwick;Loretta Devine;Kimberly Elise;african american protagonist|female protagonist|multi protagonist|poem|three word title
For Greater Glory: The True Story of Cristiada;6.6;145;Drama|History|War;Dean Wright;Santiago Cabrera;Eduardo Verástegui;Catalina Sandino Moreno;catholic|hanging|mexico|rebellion|soldier
For Love of the Game;6.5;137;Drama|Romance|Sport;Sam Raimi;J.K. Simmons;Kelly Preston;Carmine Giovinazzo;baseball|baseball movie|detroit tigers|perfect game|pitcher
For Your Consideration;6.3;86;Comedy;Christopher Guest;John Michael Higgins;Catherine O'Hara;Ed Begley Jr.;actor|internet|make up|publicist|purim
For Your Eyes Only;6.8;127;Action|Adventure|Thriller;John Glen;Julian Glover;Topol;Desmond Llewelyn;agent|british|ice skater|ship|spy
Force 10 from Navarone;6.3;126;Action|Drama|War;Guy Hamilton;Harrison Ford;Carl Weathers;Franco Nero;colonel|mission|partisan|spy|traitor
Forget Me Not;5.2;103;Horror|Romance|Thriller;Tyler Oliver;Bella Thorne;Chloe Bridges;Christopher Atkins;
Forgetting Sarah Marshall;7.2;118;Comedy|Drama|Romance;Nicholas Stoller;Mila Kunis;Jack McBrayer;Maria Thayer;breakup|hawaii|hotel|male full frontal nudity|resort
Formula 51;6.3;93;Action|Comedy|Crime|Thriller;Ronny Yu;Meat Loaf;Junix Inocian;Paul Barber;american in the uk|drug lord|drugs|gangster|organized crime
Forrest Gump;8.8;142;Comedy|Drama;Robert Zemeckis;Tom Hanks;Siobhan Fallon Hogan;Sam Anderson;amputee|love|vietnam|vietnam war|war hero
Forsaken;6.3;90;Drama|Western;Jon Cassar;Demi Moore;Landon Liboiron;Michael Wincott;
Forsaken;6.3;90;Drama|Western;Jon Cassar;Demi Moore;Landon Liboiron;Michael Wincott;
Fort McCoy;5.9;100;Drama|History|War;Kate Connor;Johnny Pacar;Eric Stoltz;Brendan Fehr;
Fortress;5.9;95;Action|Crime|Sci-Fi|Thriller;Stuart Gordon;Christopher Lambert;Kurtwood Smith;Clifton Collins Jr.;escape|future|population control|prison|prisoner
Forty Shades of Blue;6;108;Drama|Music|Romance;Ira Sachs;Rip Torn;Jenny O'Hara;Darren E. Burrows;love|music producer|previous marriage|rock 'n' roll|russian
Four Brothers;6.9;109;Action|Crime|Drama|Mystery|Thriller;John Singleton;Josh Charles;Tony Nappo;Fionnula Flanagan;bare butt|corrupt police|four brothers|funeral|murder
Four Christmases;5.6;88;Comedy|Drama|Romance;Seth Gordon;Jon Favreau;Robert Duvall;Katy Mixon;airport|christmas|news broadcast|tv broadcast|tv news
Four Lions;7.3;97;Comedy|Crime|Drama;Christopher Morris;Kayvan Novak;Riz Ahmed;Alex Macqueen;accidental shooting|bird|crow|exploding animal|muslim
Four Rooms;6.7;110;Comedy|Fantasy;Allison Anders;Salma Hayek;Alicia Witt;Lili Taylor;bellhop|coven|gangster|hotel|new year's eve
Four Single Fathers;5.1;100;Comedy;Paolo Monico;Stephanie Szostak;Sarah Rafferty;Salvatore Santone;number in title|single father
Four Weddings and a Funeral;7.1;117;Comedy|Drama|Romance;Mike Newell;Kristin Scott Thomas;James Fleet;Simon Callow;1990s|chick flick|funeral|gay relationship|wedding
Frailty;7.3;100;Crime|Drama|Thriller;Bill Paxton;Matthew McConaughey;Powers Boothe;Matt O'Leary;demon|fbi|fbi agent|murder|religious fanatic
Frances Ha;7.4;86;Comedy|Drama|Romance;Noah Baumbach;Greta Gerwig;Grace Gummer;Vanessa Ray;best friend|black and white|father daughter relationship|female protagonist|mother daughter relationship
Frankenweenie;7;87;Animation|Comedy|Family|Horror|Sci-Fi;Tim Burton;Martin Landau;Catherine O'Hara;Atticus Shaffer;dog|life|remake by original director|science|stop motion animation
Frat Party;2.8;90;Comedy;Robert Bennett;Randy Wayne;Lauren C. Mayhew;Alicia Ziegler;erotica|masseuse|sister sister relationship|temptation|threesome
Freakonomics;6.4;93;Documentary;Heidi Ewing;Greg Crowe;James Ransone;Tempestt Bledsoe;cheating|economics|experiment|human nature|sumo wrestling
Freaky Deaky;6.5;90;Comedy|Crime|Thriller;Charles Matthau;Billy Burke;Michael Jai White;Bill Duke;black panties|bomb squad|car bomb|dynamite|girl in panties
Freaky Friday;6.1;97;Comedy|Family|Fantasy|Music|Romance;Mark Waters;Jamie Lee Curtis;Julie Gonzalo;Willie Garson;body swap|camera shot of feet|foot closeup|reference to keith richards|reference to the rolling stones
Freddy Got Fingered;4.5;87;Comedy;Tom Green;Rip Torn;Harland Williams;Eddie Kaye Thomas;animator|bamboo cane|cartoonist|sausage|slacker
Freddy vs. Jason;5.8;97;Action|Horror|Thriller;Ronny Yu;Katharine Isabelle;Jason Ritter;Zack Ward;elm street|freddy krueger|jason voorhees|serial killer|slasher
Freddy's Dead: The Final Nightmare;4.9;93;Comedy|Fantasy|Horror|Thriller;Rachel Talalay;Johnny Depp;Tom Arnold;Yaphet Kotto;dark comedy|dream|freddy krueger|nightmare|serial murder
Free Birds;5.9;91;Adventure|Animation|Comedy|Family;Jimmy Hayward;Amy Poehler;Carlos Ponce;Dan Fogler;chipmunk|hunting dog|sabotage|thanksgiving|turkey the bird
Free State of Jones;6.7;139;Action|Biography|Drama|History|War;Gary Ross;Matthew McConaughey;Donald Watkins;Jessica Collins;american civil war|civil war|u.s. civil war
Free Style;4.2;94;Drama;William Dear;Madison Pettis;Corbin Bleu;Sandra Echeverría;
Freedom;6.2;94;Drama|Family|Music;Peter Cousens;Sharon Leal;David Rasche;Bart Shatto;19th century|christian film|hymn|religion|slave
Freedom Writers;7.5;123;Biography|Crime|Drama;Richard LaGravenese;Hunter Parrish;Scott Glenn;Imelda Staunton;gang violence|high school|journal|marriage|teacher
Freeheld;6.5;103;Biography|Drama|Romance;Peter Sollett;Steve Carell;Josh Charles;Luke Grimes;cancer|gay bar|lesbian kiss|partner|public hearing
Freeway;6.9;102;Comedy|Crime|Drama|Thriller;Matthew Bright;Bokeem Woodbine;Dan Hedaya;Robert Peters;freeway|nightmare|police|school|trailer park
Freeze Frame;6.4;99;Crime|Drama|Thriller;John Simpson;Colin Salmon;Lee Evans;Ian McNeice;alibi|box office flop|newspaper clipping|non statutory female on male rape|profiler
Frenzy;7.5;116;Thriller;Alfred Hitchcock;Bernard Cribbins;Jean Marsh;Clive Swift;penknife|police|rape|serial killer|united kingdom
Frequency;7.3;118;Crime|Drama|Mystery|Sci-Fi|Thriller;Gregory Hoblit;Dennis Quaid;Andre Braugher;Noah Emmerich;altering history|alternate history|amateur radio|ham radio|paranormal phenomena
Frida;7.4;123;Biography|Drama|Romance;Julie Taymor;Salma Hayek;Roger Rees;Valeria Golino;art|bisexual|marriage|pain|revolutionary
Friday;7.3;97;Comedy|Drama;F. Gary Gray;Nia Long;John Witherspoon;Tony Cox;bully|drug dealer|first part|neighbor|neighborhood
Friday After Next;5.8;85;Comedy|Drama;Marcus Raboy;John Witherspoon;Mike Epps;Katt Williams;apartment|christmas|christmas present|rent|security guard
Friday Night Lights;8.7;44;Drama|Sport;;Zach Gilford;Aimee Teegarden;Scott Porter;football|football coach|high school|small town|texas
Friday the 13th Part 2;6.1;87;Horror|Mystery|Thriller;Steve Miner;Betsy Palmer;Adrienne King;Amy Steel;ice pick|jason voorhees|lake|pitchfork|shack
Friday the 13th Part III;5.7;91;Horror|Thriller;Steve Miner;Richard Brooker;Dana Kimmell;Catherine Parks;defecation|hockey mask|jason voorhees|lake|serial killer
Friday the 13th Part VII: The New Blood;5.3;88;Horror;John Carl Buechler;Kane Hodder;Terry Kiser;William Butler;death|jason voorhees|massacre|slaughter|telekinesis
Friday the 13th Part VIII: Jason Takes Manhattan;4.5;100;Adventure|Horror;Rob Hedden;Kane Hodder;Peter Mark Richman;Scott Reeves;cult film|friday the thirteenth|hockey mask|jason voorhees|murder spree
Friday the 13th: A New Beginning;4.7;92;Horror|Mystery|Thriller;Danny Steinmann;Tiffany Helm;Melanie Kinnaman;Dominick Brascia;jason voorhees|murder|new jersey|nightmare|teenager
Friday the 13th: The Final Chapter;5.9;97;Horror|Thriller;Joseph Zito;Judie Aronson;Tom Everett;Kimberly Beck;friday the thirteenth|hockey mask|jason voorhees|morgue|slasher
Friends with Benefits;6.6;109;Comedy|Romance;Will Gluck;Mila Kunis;Justin Timberlake;Masi Oka;blow job|female rear nudity|girl in panties|male objectification|no panties
Friends with Money;5.9;88;Comedy|Drama|Romance;Nicole Holofcener;Greg Germann;Marin Hinkle;Jake Cherry;friend|friendship|marital problem|money problems|nervous breakdown
Fright Night;6.4;106;Comedy|Horror;Craig Gillespie;Grace Phipps;Reid Ewing;Sandra Vergara;neighbor|remake|suburb|teenager|vampire
From a Whisper to a Scream;5.9;92;Action|Drama|Horror|Thriller;Jeff Burr;Terry Kiser;Clu Gulager;Susan Tyrrell;bathtub|cult film|neck breaking|tennessee|wraparound story
From Dusk Till Dawn;7.3;108;Crime|Fantasy|Horror;Robert Rodriguez;Quentin Tarantino;Salma Hayek;Cheech Marin;brother|human versus vampire|rapist|stripper|vampire
From Hell;6.8;122;Horror|Mystery|Thriller;Albert Hughes;Johnny Depp;Jason Flemyng;Ian Richardson;freemason|jack the ripper|opium|prostitute|victorian era
From Hell;6.8;122;Horror|Mystery|Thriller;Albert Hughes;Johnny Depp;Jason Flemyng;Ian Richardson;freemason|jack the ripper|opium|prostitute|victorian era
From Here to Eternity;7.8;118;Drama|Romance|War;Fred Zinnemann;Montgomery Clift;Donna Reed;Deborah Kerr;boxing|captain|hawaii|love|sergeant
From Justin to Kelly;2.1;90;Comedy|Musical|Romance;Robert Iscove;Anika Noni Rose;Kelly Clarkson;Brian Dietzen;bar|florida|love|spring break|waitress
From Paris with Love;6.5;92;Action|Thriller;Pierre Morel;Kasia Smutniak;Amber Rose Revah;Rebecca Dayan;ambassador|cia|dinner|spy|terrorist
From Russia with Love;7.5;115;Action|Adventure|Thriller;Terence Young;Robert Shaw;Daniela Bianchi;Lois Maxwell;assassin|british agent|british secret service|decoder|russian
Frost/Nixon;7.7;122;Drama;Ron Howard;Toby Jones;Clint Howard;Oliver Platt;american president|political drama|scandal|u.s. president|washington post the newspaper
Frozen;7.6;102;Adventure|Animation|Comedy|Family|Fantasy|Musical;Chris Buck;Josh Gad;Maurice LaMarche;Livvy Stubenrauch;magic|sister love|sister sister relationship|snow|snowman
Frozen River;7.2;97;Crime|Drama;Courtney Hunt;Charlie McDermott;Michael O'Keefe;Misty Upham;border|mohawk|money|new york|river
Fruitvale Station;7.5;85;Biography|Drama|Romance;Ryan Coogler;Ahna O'Reilly;Melonie Diaz;Ariana Neal;22 year old|b.a.r.t.|bay area|birthday|police
Fuel;7.6;112;Documentary;Joshua Tickell;Larry David;Sheryl Crow;George W. Bush;alternative energy|energy|fuel|green|oil
Fugly;4.7;134;Drama|Thriller;Kabir Sadanand;Jimmy Shergill;Sana Saeed;Dimple Kapadia;
Full Frontal;4.7;101;Comedy|Romance;Steven Soderbergh;Julia Roberts;Enrico Colantoni;Blair Underwood;birthday|friend|hollywood|party|sex
Fun Size;5.4;86;Adventure|Comedy;Josh Schwartz;Thomas McDonell;Jackson Nicoll;Osric Chau;adult humor|best friend|friend|halloween|teenage girl
Fun with Dick and Jane;6.1;90;Comedy|Crime;Dean Parisot;John Michael Higgins;Richard Burgi;David Herman;animal abuse|ceo|heist|suburb|unemployment
Funny Games;6.5;111;Crime|Drama|Horror|Thriller;Michael Haneke;Naomi Watts;Siobhan Fallon Hogan;Brady Corbet;breaking the fourth wall|looking at the camera|remake|serial killer|violence
Funny Ha Ha;6.4;85;Comedy|Drama;Andrew Bujalski;Andrew Bujalski;Kate Dollenmayer;Justin Rice;mumblecore
Funny People;6.4;153;Comedy|Drama;Judd Apatow;Adam Sandler;RZA;Maude Apatow;breasts|comedian|craigslist|infidelity|stand up comedian
Fur: An Imaginary Portrait of Diane Arbus;6.5;122;Biography|Drama|Romance;Steven Shainberg;Robert Downey Jr.;Ty Burrell;Matt Servitto;character name in title|diane arbus|male full frontal nudity|photographer|pubic hair
Furious 7;7.2;140;Action|Crime|Thriller;James Wan;Jason Statham;Paul Walker;Vin Diesel;car falling off a cliff|hospital|revenge|star died before release|terrorist
Furry Vengeance;3.8;92;Comedy|Family;Roger Kumble;Brendan Fraser;Brooke Shields;Matt Prokop;animal|bear|land developer|real estate|real estate developer
Fury;7.6;134;Action|Drama|War;David Ayer;Brad Pitt;Logan Lerman;Jim Parrack;battle|battlefield|brutality|combat|tank
Futuro Beach;6.1;106;Drama;Karim Aïnouz;Wagner Moura;Clemens Schick;Jesuíta Barbosa;gay|male frontal nudity|male nudity|male rear nudity|nudity
G.I. Jane;5.8;125;Action|Drama|War;Ridley Scott;Viggo Mortensen;Demi Moore;John Michael Higgins;feminism|hit in the crotch|kicked in the crotch|kicked in the testicles|navy
G.I. Joe: Retaliation;5.8;122;Action|Adventure|Sci-Fi|Thriller;Jon M. Chu;Channing Tatum;Dwayne Johnson;Elodie Yung;general|gi joe|martial arts|ninja|president
G.I. Joe: The Rise of Cobra;5.8;118;Action|Adventure|Sci-Fi|Thriller;Stephen Sommers;Joseph Gordon-Levitt;Dennis Quaid;Leo Howard;cobra|gi joe|snake|train|warhead
Gabriela;6.4;99;Comedy|Drama|Romance;Bruno Barreto;Marcello Mastroianni;Sonia Braga;Joffre Soares;based on novel|brazil|female underarm hair|sex in a window|star appears nude
Galaxina;3.4;95;Comedy|Sci-Fi;William Sachs;Stephen Macht;Avery Schreiber;Angelo Rossitto;alien|android|fem bot|female android|stars
Galaxy Quest;7.3;102;Adventure|Comedy|Sci-Fi;Dean Parisot;Alan Rickman;Enrico Colantoni;Robin Sachs;alien|alien race|convention|fan|general
Gamer;5.8;95;Action|Sci-Fi|Thriller;Mark Neveldine;Gerard Butler;Logan Lerman;Alison Lohman;battle|convict|death|mind control|role playing
Gandhi;8.1;240;Biography|Drama|History;Richard Attenborough;Candice Bergen;Amrish Puri;John Gielgud;british|india|indian|muslim|pakistan
Gandhi, My Father;7.4;136;Biography|Drama|History;Feroz Abbas Khan;Akshaye Khanna;Bhoomika Chawla;Darshan Jariwala;africa|hindu|india|muslim|south africa
Gangs of New York;7.5;216;Crime|Drama;Martin Scorsese;Leonardo DiCaprio;Liam Neeson;Jim Broadbent;butcher|civil war|gangster|new york city|revenge
Gangster Squad;6.7;113;Action|Crime|Drama|Thriller;Ruben Fleischer;Ryan Gosling;Brandon Molale;Wade Williams;good versus evil|machine gun|mobster|police vigilantism|year 1949
Gangster's Paradise: Jerusalema;7.8;119;Action|Crime|Drama;Ralph Ziman;Rapulana Seiphemo;Kenneth Nkosi;Robert Hobbs;carjacking|drug lord|johannesburg south africa|police|post apartheid
Garden State;7.6;102;Comedy|Drama|Romance;Zach Braff;Armando Riesco;Michael Weston;Jill Flint;actor|doctor|drugs|home|pain
Garfield;5;80;Animation|Comedy|Family|Fantasy;Peter Hewitt;Bill Murray;Mark Christopher Lawrence;Michael Monks;cat|dog|first part|lasagna|veterinarian
Garfield 2;5;86;Animation|Comedy|Family|Fantasy;Tim Hill;Bill Murray;Roger Rees;Ben Falcone;cat|england|lti txii|peugeot 206|rover 3 5 litre.coupe p5b
Gattaca;7.8;106;Drama|Sci-Fi|Thriller;Andrew Niccol;Blair Underwood;Xander Berkeley;Mason Gamble;accident|future|genetics|mission|police
Gentleman's Agreement;7.4;118;Drama|Romance;Elia Kazan;Dean Stockwell;Celeste Holm;John Garfield;bigotry|jewish|prejudice|racism|writer
Gentlemen Broncos;6.1;89;Adventure|Comedy|Sci-Fi;Jared Hess;Jizelle Jade;Michael Angarano;Héctor Jiménez;amateur film|sexual harassment|sexual innuendo|small town|struggling parent
George and the Dragon;5.7;93;Action|Adventure|Comedy|Fantasy|Romance;Tom Reeve;Joan Plowright;Rollo Weeks;Simon Callow;dragon|knight|love|priest|princess
George of the Jungle;5.4;92;Action|Adventure|Comedy|Family|Romance;Sam Weisman;Brendan Fraser;Abraham Benrubi;Holland Taylor;animal companion|heiress|hero|jungle|male objectification
George Washington;7.5;90;Drama;David Gordon Green;Paul Schneider;Eddie Rouse;Damian Jewan Lee;cover up|north carolina|redemption|small town|teenager
Georgia Rule;5.9;113;Comedy|Drama;Garry Marshall;Hector Elizondo;Zachary Gordon;Jane Fonda;alcoholic|rules|secret|summer|teenager
Gerry;6.2;103;Adventure|Drama|Mystery;Gus Van Sant;Matt Damon;Casey Affleck;;desert|friend|friendship|minimal dialogue|water
Get Carter;5.1;102;Action|Crime|Drama|Thriller;Stephen Kay;Sylvester Stallone;Miranda Richardson;Lauren Lee Smith;affair|car crash|enforcer|funeral|murder
Get Hard;6;107;Comedy|Crime;Etan Cohen;Will Ferrell;Alison Brie;Craig T. Nelson;camera focus on female butt|gay bar|millionaire|singing in a car|two word title
Get Him to the Greek;6.4;114;Comedy|Music;Nicholas Stoller;Pink;Mario Lopez;Lino Facioli;concert|drugs|recession|record company|rock star
Get Low;7.1;100;Drama|Mystery;Aaron Schneider;Bill Murray;Robert Duvall;Bill Cobbs;funeral|funeral home|hermit|party|secret
Get on the Bus;6.8;120;Drama|History;Spike Lee;Bernie Mac;Harry Lennix;Andre Braugher;actor|bus|march|million man march|religion
Get on Up;6.9;139;Biography|Drama|Music;Tate Taylor;Tika Sumpter;Josh Hopkins;Aunjanue Ellis;1970s|1980s|african american|breaking the fourth wall|mother son relationship
Get Over It;5.8;87;Comedy|Romance;Tommy O'Haver;Mila Kunis;Kirsten Dunst;Carmen Electra;basketball|dancer|high school|love triangle|shakespeare's a midsummer night's dream
Get Real;7.3;60;Comedy|Drama|Romance;;Anne Hathaway;Jon Tenney;Debrah Farentino;breaking the fourth wall|brother brother relationship|high school friends|imperative in title|skateboard
Get Rich or Die Tryin';5;117;Biography|Crime|Drama|Music;Jim Sheridan;50 Cent;Bill Duke;Marc John Jefferies;male frontal nudity|male pubic hair|prison|pubic hair|violence
Get Shorty;6.9;105;Comedy|Crime|Thriller;Barry Sonnenfeld;Delroy Lindo;Rene Russo;Jon Gries;debt|loan shark|mobster|movie business|producer
Get Smart;6.5;110;Action|Adventure|Comedy;Peter Segal;Bill Murray;Dwayne Johnson;Anne Hathaway;airplane|misunderstanding|obese woman|overweight woman|spy
Getaway;4.4;90;Action|Crime|Thriller;Courtney Solomon;Rebecca Budig;Paul Freeman;Bruce Payne;die hard scenario|earth viewed from space|race against time|race car driver|title at the end
Gettysburg;7.7;271;Drama|History|War;Ron Maxwell;Tom Berenger;William Morgan Sheppard;James Patrick Stuart;american civil war|battle|blood splatter|civil war|irish american
G-Force;5.1;88;Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi;Hoyt Yeatman;Kelli Garner;Piper Mackenzie Harris;Niecy Nash;fbi director|guinea pig|household appliance|secret agent|talking mouse
Ghost;7;127;Drama|Fantasy|Romance|Thriller;Jerry Zucker;Demi Moore;Tony Goldwyn;Phil Leeds;death|film blanc|invisibility|love|unrequited love
Ghost Dog: The Way of the Samurai;7.5;116;Action|Crime|Drama|Thriller;Jim Jarmusch;Henry Silva;Gano Grills;Richard Portnow;african american|code|dog|pigeon|samurai
Ghost Hunters;6.6;60;Documentary;;Amy Bruni;Steve Gonsalves;Jason Hawes;ghost|paranormal|paranormal research|shaky cam
Ghost Rider;5.2;123;Action|Fantasy|Thriller;Mark Steven Johnson;Nicolas Cage;Matt Long;Peter Fonda;blackheart|devil|father|ghost|mephistopheles
Ghost Rider: Spirit of Vengeance;4.3;96;Action|Fantasy|Thriller;Mark Neveldine;Nicolas Cage;Spencer Wilding;Christopher Lambert;deal with the devil|devil|eastern europe|ghost rider|monk
Ghost Ship;5.5;91;Horror;Steve Beck;Isaiah Washington;Ron Eldard;Francesca Rettondini;decapitation|ghost ship|passenger|severed head|torso cut in half
Ghost Town;6.7;102;Comedy|Drama|Fantasy|Romance;David Koepp;Aasif Mandvi;Dequina Moore;Jordan Carlos;bouquet of roses|bright light|cardiopulmonary resuscitation|ghost|white rose
Ghost World;7.4;111;Comedy|Drama;Terry Zwigoff;Scarlett Johansson;Steve Buscemi;T.J. Thyne;art class|diner|friend|graduation|high school
Ghostbusters;5.5;116;Action|Comedy|Fantasy|Sci-Fi;Paul Feig;Ed Begley Jr.;Kate McKinnon;Zach Woods;ghost|ghostbuster|ghostbusters|male objectification|reboot
Ghostbusters;5.5;116;Action|Comedy|Fantasy|Sci-Fi;Paul Feig;Ed Begley Jr.;Kate McKinnon;Zach Woods;ghost|ghostbuster|ghostbusters|male objectification|reboot
Ghosts of Mars;4.9;98;Action|Horror|Sci-Fi;John Carpenter;Jason Statham;Clea DuVall;Natasha Henstridge;head on a stake|machine gun|martian|nuclear reactor|outer space
Ghosts of Mississippi;6.7;130;Drama|History;Rob Reiner;Alexa PenaVega;Virginia Madsen;Craig T. Nelson;activist|assassin|civil rights|trial|widow
Gigli;2.4;121;Comedy|Crime|Romance;Martin Brest;Todd Giebenhain;Lenny Venito;David Backus;gangster|hospital|lesbian|mob|thug
Girl 6;5;108;Comedy|Drama;Spike Lee;Michael Imperioli;Debi Mazar;Gretchen Mol;actress|neighbor|phone sex|queens new york city|sex addiction
Girl House;5.5;99;Horror|Thriller;Jon Knautz;Camren Bicondova;Adam DiMarco;Chasty Ballesteros;college student|disfigured face|house|suicide|website
Girl with a Pearl Earring;7;100;Biography|Drama|Romance;Peter Webber;Scarlett Johansson;Colin Firth;Tom Wilkinson;17th century|girl|maid|painter|painting
Girl, Interrupted;7.3;127;Biography|Drama;James Mangold;Angelina Jolie Pitt;Clea DuVall;Vanessa Redgrave;1960s|father daughter incest|mental hospital|suicide|suicide attempt
Girls Gone Dead;3.5;104;Comedy|Horror;Michael Hoffman Jr.;Vincent Chimato;John McGlothlin;Al Sapienza;mini skirt|party|spring break|voyeur|war hammer
Give Me Shelter;8;90;Documentary;Kristin Rizzo;Esai Morales;Robert Davi;Elaine Hendrix;independent film
Gladiator;8.5;171;Action|Drama|Romance;Ridley Scott;Djimon Hounsou;Connie Nielsen;Oliver Reed;battlefield|blood|combat|gladiator|roman empire
Glee: The 3D Concert Movie;5.4;84;Documentary|Music;Kevin Tancharoen;Lea Michele;Heather Morris;Kevin McHale;concert|live in concert recording|live performance
Glengarry Glen Ross;7.8;100;Crime|Drama|Mystery;James Foley;Kevin Spacey;Al Pacino;Jude Ciccolella;office|pressure|real estate|robbery|sales
Glitter;2.1;104;Drama|Music|Romance;Vondie Curtis-Hall;Mariah Carey;Max Beesley;Valarie Pettiford;cult film|disc jockey|female protagonist|music business|one word title
Glory;7.9;122;Drama|History|War;Edward Zwick;Denzel Washington;Morgan Freeman;Matthew Broderick;army|black soldier|military uniform|prejudice|u.s. civil war
Glory;7.9;122;Drama|History|War;Edward Zwick;Denzel Washington;Morgan Freeman;Matthew Broderick;army|black soldier|military uniform|prejudice|u.s. civil war
Glory Road;7.2;118;Biography|Drama|Sport;James Gartner;Mehcad Brooks;Austin Nichols;Derek Luke;coach|college basketball|national championship|ncaa|texas
Go;7.3;102;Comedy|Crime;Doug Liman;Sarah Polley;Jay Mohr;Scott Wolf;drug deal|drugs|sex|sex on stairs|strip club
Go for It!;3.9;105;Drama|Musical;Carmen Marron;Jossara Jinaro;Aimee Garcia;Rene Rosado;exclamation point in title|imperative in title|punctuation in title|three word title
Goal! The Dream Begins;6.8;118;Drama|Romance|Sport;Danny Cannon;Sean Pertwee;Kuno Becker;Stephen Dillane;barrio|border|newcastle united|party|soccer
Goddess of Love;5.4;93;Drama|Horror|Mystery|Thriller;Jon Knautz;Rachel Alig;Monda Scott;Alexis Kendra;female nudity|hallucination|sex scene|strip club|stripper
